,subject,date,NM,eid,fiber,region,nph_file,nph_bnc,comment,photometry_path_a,photometry_path_b,digital_inputs_path,alyx_exists,taskData_exists,taskData_alfpath,n_timestamps_nph,n_timestamps_bpod,drift_ppm,timestamps_diff
30,ZFM-03059,2021-09-06,5HT,9557f20a-e1ef-44d5-9859-20d1c3854175,probe01,Region1G,,0,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-09-06/001/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S7_06Sep2021/PhotometryData_M1_M4_TCW_S7_06Sep2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S7_06Sep2021/DI0_M1_M4_TCW_S7_06Sep2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,405,405,-4.269485162,0
31,ZFM-03061,2021-09-06,5HT,b0e8c029-4bc5-4eb5-99b9-9896164efaea,probe04,Region4G,,1,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-06/001/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S7_06Sep2021/PhotometryData_M1_M4_TCW_S7_06Sep2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S7_06Sep2021/DI1_M1_M4_TCW_S7_06Sep2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,258,257,-19.82641045,-1
32,ZFM-03061,2021-09-06,5HT,b0e8c029-4bc5-4eb5-99b9-9896164efaea,probe05,Region6G,,1,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-06/001/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S7_06Sep2021/PhotometryData_M1_M4_TCW_S7_06Sep2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S7_06Sep2021/DI1_M1_M4_TCW_S7_06Sep2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,258,257,-19.82641045,-1
33,ZFM-03062,2021-09-06,5HT,b1e38acd-f65f-4395-ae4f-8fee34ca40c9,probe02,Region4G,,1,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03062/2021-09-06/001/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S7_06Sep2021/PhotometryData_M3_M2_TCW_S7_06Sep2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S7_06Sep2021/DI1_M3_M2_TCW_S7_06Sep2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,361,360,-1.678228796,-1
34,ZFM-03065,2021-09-06,5HT,df775d7e-3890-4aa3-b7ef-0c6fe6f9abf8,probe03,Region1G,,0,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03065/2021-09-06/001/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S7_06Sep2021/PhotometryData_M3_M2_TCW_S7_06Sep2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S7_06Sep2021/DI0_M3_M2_TCW_S7_06Sep2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,326,325,-5.089783208,-1
35,ZFM-03059,2021-09-07,5HT,0006f59b-b214-432a-bfb8-bdf66e009c91,probe01,Region1G,,0,new,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S8_07Sep2021/PhotometryData_M1_TCW_S8_07Sep2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S8_07Sep2021/PhotometryData_M1_TCW_S8_07Sep2021,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S8_07Sep2021/DI0_M1_TCW_S8_07Sep2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,377,376,-2.226788139,-1
36,ZFM-03061,2021-09-07,5HT,58861dac-4b4c-4f82-83fb-33d98d67df3a,probe04,Region4G,,1,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-07/001/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S8_07Sep2021/PhotometryData_M3_M4_TCW_S8_07Sep2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S8_07Sep2021/DI1_M3_M4_TCW_S8_07Sep2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,320,319,-4.200542478,-1
37,ZFM-03061,2021-09-07,5HT,58861dac-4b4c-4f82-83fb-33d98d67df3a,probe05,Region6G,,1,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-07/001/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S8_07Sep2021/PhotometryData_M3_M4_TCW_S8_07Sep2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S8_07Sep2021/DI1_M3_M4_TCW_S8_07Sep2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,320,319,-4.200542478,-1
38,ZFM-03062,2021-09-07,5HT,40909756-d0ce-4146-9588-249bf97f074b,probe02,Region4G,,1,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03062/2021-09-07/003/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S8_07Sep2021/PhotometryData_M3_M2_TCW_S8_07Sep2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S8_07Sep2021/DI1_M3_M2_TCW_S8_07Sep2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,130,129,-12.9544701,-1
39,ZFM-03065,2021-09-07,5HT,7c67fbd4-18c1-42f2-b989-8cbfde0d2374,probe03,Region1G,,0,new 2 photometry files,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S8_07Sep2021/PhotometryData_M3_M2_TCW_S8_07Sep2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S8_07Sep2021/PhotometryData_M3_M2_TCW_S8_07Sep2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S8_07Sep2021/DI0_M3_M4_TCW_S8_07Sep2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,436,435,-4.41566944,-1
