Unnamed: 0,subject,date,region,eid,fiber,added,BNC ,path
377,ZFM-03447,2021-12-09,Region7G,d294a666-15b4-4573-8335-93cfa402749c,probe06,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03447/2021-12-09/002/raw_photometry_data/raw_photometry.csv
662,ZFM-03448,2021-12-10,Region4G,7c70fe57-183d-4a31-8f14-779fd0bddcf9,probe07,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03448/2021-12-10/001/raw_photometry_data/raw_photometry.csv
4,ZFM-03448,2021-12-13,Region4G,2c9cffdb-7b36-49ab-acf4-0f91de05626b,probe07,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03448/2021-12-13/001/raw_photometry_data/raw_photometry.csv
32,ZFM-03450,2021-12-22,Region7G,e3f37de4-b021-45b0-acd4-16b86c1ff563,,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03450/2021-12-22/002/raw_photometry_data/raw_photometry.csv
303,ZFM-03448,2021-12-22,Region1G,2fda2952-9473-428d-9290-dc3d45e0a458,probe07,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03448/2021-12-22/002/raw_photometry_data/raw_photometry.csv
865,ZFM-03450,2021-12-22,Region1G,e3f37de4-b021-45b0-acd4-16b86c1ff563,,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03450/2021-12-22/002/raw_photometry_data/raw_photometry.csv
699,ZFM-03448,2022-01-03,Region1G,9885a174-af09-411c-a2ec-04dd727dcdd2,probe07,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03448/2022-01-03/001/raw_photometry_data/raw_photometry.csv
804,ZFM-03059,2022-01-03,Region4G,18381ae9-05fe-4eb8-8c27-fd1d8d1cb0bf,probe01,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-01-03/001/raw_photometry_data/raw_photometry.csv
142,ZFM-03447,2022-01-04,Region1G,1188cf92-e377-414b-a261-722f407e5c0d,probe06,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03447/2022-01-04/001/raw_photometry_data/raw_photometry.csv
265,ZFM-03450,2022-01-04,Region7G,5824caa6-73db-41fe-94b6-0cb211d5fda8,,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03450/2022-01-04/004/raw_photometry_data/raw_photometry.csv
288,ZFM-03448,2022-01-04,Region4G,80b47579-d12f-48d5-86d4-6bac64932be4,probe07,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03448/2022-01-04/001/raw_photometry_data/raw_photometry.csv
432,ZFM-03450,2022-01-04,Region1G,5824caa6-73db-41fe-94b6-0cb211d5fda8,,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03450/2022-01-04/004/raw_photometry_data/raw_photometry.csv
732,ZFM-03059,2022-01-04,Region1G,bff3ba86-e4be-4b6b-a0ed-056263859c00,probe01,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-01-04/001/raw_photometry_data/raw_photometry.csv
28,ZFM-03450,2022-01-05,Region4G,9f41ef3e-f0cd-4e9a-a1af-4c6fa3f85b8a,,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03450/2022-01-05/001/raw_photometry_data/raw_photometry.csv
152,ZFM-03447,2022-01-05,Region4G,609c1d6b-efcb-4027-8609-23c6f597ed5a,probe06,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03447/2022-01-05/001/raw_photometry_data/raw_photometry.csv
255,ZFM-03059,2022-01-05,Region1G,e69d63c9-a62e-48b2-9773-b137667e46e7,probe01,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-01-05/001/raw_photometry_data/raw_photometry.csv
