path,subject,date,region,folder1,folder2,present
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-02-04/002,ZFM-03059,2022-02-04,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-02-07/001,ZFM-03059,2022-02-07,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-02-08/001,ZFM-03059,2022-02-08,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-02-19/001,ZFM-03059,2022-02-19,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-02-25/003,ZFM-03059,2022-02-25,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-03-18/001,ZFM-03059,2022-03-18,Region5G,True,True,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-03-24/001,ZFM-03059,2022-03-24,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-03-25/002,ZFM-03059,2022-03-25,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-03-28/001,ZFM-03059,2022-03-28,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-03-29/001,ZFM-03059,2022-03-29,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-03-31/001,ZFM-03059,2022-03-31,Region5G,True,True,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-03-31/001,ZFM-03059,2022-03-31,Region6G,True,True,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-04-01/001,ZFM-03059,2022-04-01,Region5G,True,True,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-04-01/001,ZFM-03059,2022-04-01,Region6G,True,True,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-04-04/002,ZFM-03059,2022-04-04,Region5G,True,True,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-04-05/001,ZFM-03059,2022-04-05,Region5G,True,True,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-04-06/001,ZFM-03059,2022-04-06,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-04-08/003,ZFM-03059,2022-04-08,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-04-12/001,ZFM-03059,2022-04-12,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-04-14/001,ZFM-03059,2022-04-14,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-04-18/006,ZFM-03059,2022-04-18,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-04-19/001,ZFM-03059,2022-04-19,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-04-20/001,ZFM-03059,2022-04-20,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-04-21/001,ZFM-03059,2022-04-21,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-04-22/001,ZFM-03059,2022-04-22,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-04-26/002,ZFM-03059,2022-04-26,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-04-27/001,ZFM-03059,2022-04-27,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-04-28/002,ZFM-03059,2022-04-28,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-08-22/001,ZFM-03061,2021-08-22,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-08-23/001,ZFM-03061,2021-08-23,,False,False,no
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-08-27/001,ZFM-03061,2021-08-27,Region4G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-08-30/001,ZFM-03061,2021-08-30,,False,False,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-08-31/001,ZFM-03061,2021-08-31,,False,False,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-01/001,ZFM-03061,2021-09-01,Region4G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-01/001,ZFM-03061,2021-09-01,Region6G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-02/001,ZFM-03061,2021-09-02,Region4G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-02/001,ZFM-03061,2021-09-02,Region6G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-03/001,ZFM-03061,2021-09-03,Region4G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-03/001,ZFM-03061,2021-09-03,Region6G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-06/001,ZFM-03061,2021-09-06,Region4G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-06/001,ZFM-03061,2021-09-06,Region6G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-07/001,ZFM-03061,2021-09-07,Region4G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-07/001,ZFM-03061,2021-09-07,Region6G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-08/002,ZFM-03061,2021-09-08,Region4G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-08/002,ZFM-03061,2021-09-08,Region6G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-09/003,ZFM-03061,2021-09-09,Region4G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-09/003,ZFM-03061,2021-09-09,Region6G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-10/001,ZFM-03061,2021-09-10,Region4G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-10/001,ZFM-03061,2021-09-10,Region6G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-13/001,ZFM-03061,2021-09-13,Region4G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-13/001,ZFM-03061,2021-09-13,Region6G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-14/001,ZFM-03061,2021-09-14,Region4G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-14/001,ZFM-03061,2021-09-14,Region6G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-15/001,ZFM-03061,2021-09-15,Region4G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-15/001,ZFM-03061,2021-09-15,Region6G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-16/001,ZFM-03061,2021-09-16,Region4G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-16/001,ZFM-03061,2021-09-16,Region6G,True,True,B
/media/kceniabougrova/Seagate Basic/IBL_server_PC_20250529/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-17/001,ZFM-03061,2021-09-17,Region4G,True,True,B
